1,2,3,4,5,6,6 Express,7,7 Express,A,B,C,D,E,F,G,J,L,M,N,Q,R,S,Z,x,y,name
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-73.9576869999,40.7177193336,Bedford Ave & N 7th St At Se Corner
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-73.949913,40.699966332,Union Ave & Flushing Ave At Ne Corner (To Queens Only)
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,-73.9523439989,40.7066273323,Hewes St & Broadway At Ne Corner
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,-73.951444998,40.713768334,Union Ave & Metropolitan Ave At Se Corner
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,-73.9466879994,40.7033133342,Lorimer St & Broadway At Sw Corner
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,-73.9422351474,40.7005952307,Flushing Ave & Broadway At Se Corner
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-73.9519059995,40.7254783329,Manhattan Ave & Norman Ave At Nw Corner
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-73.9509280019,40.7238103321,Manhattan Ave & Nassau Ave At Nw Corner
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-73.944248,40.7144493342,Graham Ave & Metropolitan Ave At Se Corner (To Canarsie Only)
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-73.940892,40.7120353328,Grand St & Bushwick Ave At Ne Corner (To Canarsie Only)
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-73.9319889996,40.7062343346,Morgan Ave & Harrison Pl At Sw Corner
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-73.9544149988,40.7322703339,Manhattan Ave & India St At Se Corner
0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-73.9226630015,40.6649323336,Rutland Rd & E. 98th St At Ne Corner
0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-73.9153449982,40.6616753335,Saratoga Ave & Livonia Ave At Ne Corner
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-73.9024980013,40.6455453336,Glenwood Rd & Rockaway Pkwy At Nw Corner
0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-73.92151693,40.6787142967,Ralph Ave & Fulton St At Se Corner
0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-73.9137686831,40.6785926243,Hopkinson Ave & Fulton St At Nw Corner
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,-73.9215649999,40.6890683316,Palmetto St & Broadway At Sw Corner
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-73.917295,40.6869333327,Jefferson Ave & Broadway At Ne Corner
