geometry,line,name,url,1,2,3,4,5,6,6 Express,7,7 Express,@,A,B,C,D,E,F,G,J,L,M,N,Q,R,S,Z
POINT (-73.92966699808947 40.69367233274048),J,1122 Broadway,http://www.mta.info/nyct/service/,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
POINT (-73.98356699808529 40.76029733269984),N-Q-R,729 7 Avenue (Uptown Only),http://www.mta.info/nyct/service/,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False
POINT (-73.99065000102587 40.75028333388322),1-2-3,421 7 Avenue,http://www.mta.info/nyct/service/,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
POINT (-73.99112999976678 40.74965633338882),1-2-3,401 7 Avenue,http://www.mta.info/nyct/service/,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
POINT (-73.9505447051535 40.70547143940723),G,502 Broadway,http://www.mta.info/nyct/service/,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
POINT (-74.00842799968676 40.71069233447201),2-3-4-5-A-C-J-Z,2 Ann Street,http://www.mta.info/nyct/service/,False,True,True,True,True,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,True
POINT (-73.99085399865109 40.75031333412546),1-2-3,421 7 Avenue,http://www.mta.info/nyct/service/,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
POINT (-73.85243999690633 40.69343233252025),J-Z,92-20 Jamaica Avenue,http://www.mta.info/nyct/service/,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
POINT (-73.91931400054645 40.80776733502132),6,235 Brook Avenue (To Manhattan Only),http://www.mta.info/nyct/service/,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
POINT (-73.97603746586208 40.62614515290905),F,101 Avenue I,http://www.mta.info/nyct/service/,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
