District,Year,Total Enrollment,Grade PK,Grade K,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12,# Female,% Female,# Male,% Male,# Asian,% Asian,# Black,% Black,# Hispanic,% Hispanic,# Other,% Other,# White,% White,# Students with Disabilities,% Students with Disabilities,# English Language Learners,% English Language Learners,# Poverty,% Poverty
21,2014-15,35814,2350,2173,2228,2291,2115,2112,2023,2826,2793,2780,3637,3353,2440,2693,17358,48.5%,18456,51.5%,8843,24.7%,5729,16.0%,8988,25.1%,455,1.3%,11799,32.9%,6006,16.8%,5429,15.2%,28398,79.3%
21,2015-16,36565,2753,2199,2270,2233,2279,2086,2119,2901,2875,2854,3547,3425,2465,2559,17780,48.6%,18785,51.4%,8905,24.4%,5643,15.4%,9145,25.0%,574,1.6%,12298,33.6%,6255,17.1%,5567,15.2%,28405,77.7%
22,2011-12,37212,2370,2760,2945,2825,2875,2966,3002,2283,2305,2442,2771,3021,2265,2381,18619,50.0%,18593,50.0%,6190,16.6%,14937,40.1%,5224,14.0%,262,0.7%,10599,28.5%,4913,13.2%,3668,9.9%,27012,72.6%
22,2012-13,36608,2194,2874,2968,2890,2791,2827,2885,2243,2296,2317,3000,2718,2238,2367,18127,49.5%,18481,50.5%,6260,17.1%,14202,38.8%,5214,14.2%,357,1.0%,10575,28.9%,5026,13.7%,3631,9.9%,26117,71.3%
22,2013-14,35912,2147,2801,3077,2943,2832,2750,2768,2163,2247,2305,2629,2854,2023,2373,17700,49.3%,18212,50.7%,6398,17.8%,13288,37.0%,5178,14.4%,438,1.2%,10610,29.5%,5236,14.6%,3534,9.8%,25535,71.1%
22,2014-15,35745,2672,2750,2919,3044,2874,2818,2687,2067,2140,2261,2449,2703,2207,2154,17624,49.3%,18121,50.7%,6576,18.4%,12594,35.2%,5285,14.8%,510,1.4%,10780,30.2%,5361,15.0%,3602,10.1%,25339,70.9%
22,2015-16,35775,2772,2745,2903,2856,2966,2839,2758,2063,2087,2129,2589,2581,2186,2301,17618,49.2%,18157,50.8%,6694,18.7%,12065,33.7%,5430,15.2%,603,1.7%,10983,30.7%,5438,15.2%,3440,9.6%,25327,70.8%
23,2011-12,11874,858,807,876,919,997,910,864,1249,1190,1299,628,519,335,423,5778,48.7%,6096,51.3%,110,0.9%,9436,79.5%,2163,18.2%,66,0.6%,99,0.8%,2123,17.9%,506,4.3%,10803,91.0%
23,2012-13,11301,818,854,844,832,894,866,792,1065,1219,1181,524,555,419,438,5351,47.3%,5950,52.7%,129,1.1%,8782,77.7%,2187,19.4%,109,1.0%,94,0.8%,2172,19.2%,526,4.7%,10304,91.2%
23,2013-14,10767,890,779,856,779,795,853,686,1031,1017,1189,496,544,439,413,5117,47.5%,5650,52.5%,94,0.9%,8341,77.5%,2114,19.6%,121,1.1%,97,0.9%,2312,21.5%,466,4.3%,9679,89.9%
23,2014-15,10459,831,795,818,850,758,779,774,894,994,1018,480,492,438,538,4964,47.5%,5495,52.5%,99,0.9%,8000,76.5%,2132,20.4%,129,1.2%,99,0.9%,2358,22.5%,476,4.6%,9322,89.1%
23,2015-16,9952,827,727,811,781,761,749,685,938,856,975,397,468,433,544,4646,46.7%,5306,53.3%,100,1.0%,7550,75.9%,2072,20.8%,131,1.3%,99,1.0%,2176,21.9%,446,4.5%,8640,86.8%
24,2011-12,57585,3696,4982,5046,4911,4654,4529,4249,3916,3978,4070,3911,3391,2954,3298,27212,47.3%,30373,52.7%,11375,19.8%,2009,3.5%,35744,62.1%,242,0.4%,8215,14.3%,7190,12.5%,13037,22.6%,47642,82.7%
24,2012-13,58656,3683,5211,5112,5016,4904,4612,4395,4043,4129,4054,3645,3562,2839,3451,27796,47.4%,30860,52.6%,11664,19.9%,1889,3.2%,36377,62.0%,381,0.6%,8345,14.2%,7646,13.0%,12844,21.9%,49744,84.8%
24,2013-14,59750,3660,5235,5342,5033,4987,4795,4523,3968,4284,4222,3773,3487,3153,3288,28247,47.3%,31503,52.7%,11827,19.8%,1860,3.1%,37157,62.2%,492,0.8%,8414,14.1%,8411,14.1%,12875,21.5%,51194,85.7%
24,2014-15,60211,3466,5182,5325,5164,4977,4928,4641,4134,4181,4333,3886,3514,2961,3519,28524,47.4%,31687,52.6%,11789,19.6%,1803,3.0%,37613,62.5%,503,0.8%,8503,14.1%,8911,14.8%,13011,21.6%,51372,85.3%
24,2015-16,60556,3688,5123,5209,5211,5128,4970,4748,4206,4228,4184,3897,3648,2974,3342,28554,47.2%,32002,52.8%,11971,19.8%,1741,2.9%,37704,62.3%,589,1.0%,8551,14.1%,9087,15.0%,12807,21.1%,51153,84.5%
25,2011-12,36436,2319,2795,2749,2775,2498,2452,2349,2592,2488,2421,3429,2777,2423,2368,17878,49.1%,18558,50.9%,16252,44.6%,3776,10.4%,10374,28.5%,265,0.7%,5769,15.8%,4476,12.3%,6418,17.6%,25832,70.9%
25,2012-13,37096,2350,3102,2882,2699,2716,2461,2449,2455,2588,2529,3084,2762,2428,2591,18178,49.0%,18918,51.0%,16991,45.8%,3700,10.0%,10481,28.3%,305,0.8%,5619,15.1%,4761,12.8%,6454,17.4%,26635,71.8%
25,2013-14,37279,2375,2918,3129,2826,2683,2639,2503,2489,2483,2637,3048,2530,2338,2681,18209,48.8%,19070,51.2%,17422,46.7%,3458,9.3%,10562,28.3%,402,1.1%,5435,14.6%,5063,13.6%,6491,17.4%,26784,71.8%
25,2014-15,38140,2816,2934,2991,3108,2796,2676,2632,2584,2513,2512,3129,2683,2233,2533,18629,48.8%,19511,51.2%,17942,47.0%,3311,8.7%,10939,28.7%,478,1.3%,5470,14.3%,5199,13.6%,6893,18.1%,27459,72.0%
25,2015-16,38587,3033,2830,2990,2970,3075,2801,2706,2709,2572,2522,3151,2732,2331,2165,18952,49.1%,19635,50.9%,18548,48.1%,3105,8.0%,11068,28.7%,540,1.4%,5326,13.8%,5120,13.3%,6482,16.8%,26978,69.9%
26,2011-12,31930,1214,1683,1661,1742,1672,1668,1674,1937,1805,1916,3753,3890,3759,3556,15735,49.3%,16195,50.7%,16062,50.3%,4306,13.5%,5264,16.5%,257,0.8%,6041,18.9%,3889,12.2%,2438,7.6%,17335,54.3%
